community,Count,Total_oe_promotions,Mean_oe_promotions
1,12378,1491.2,0.12063748887630452
2,10759,1212.9,0.11360996627950544
3,15378,2178.7,0.14168563438902257
4,14781,1716.4,0.11624001083570365
5,11851,1382.9,0.11671027090893747
6,20484,2185.6,0.10671353937796006
7,37906,4951.1,0.130684157736367
8,4095,448.3,0.10947496947496947
9,14196,1676.9,0.11814979215106039
10,20741,2490.9,0.12028103723018978
11,17946,2052,0.11436214679819429
12,18005,2308.3,0.12821039768940237
13,17137,1930.2,0.11278485450508356
14,23129,2660,0.11505190311418685
15,21923,2777.2,0.12669130057935313
16,12071,1226.7,0.10164056674123788
17,23503,2850.4,0.1212936170212766
18,8621,820.3000000000001,0.09517345399698342
