Team,Year,Role,Name
Tennessee Titans,2014,Owner,KSA Industries [ 1 ]
Tennessee Titans,2014,Co–chairman,Susie Adams Smith
Tennessee Titans,2014,President/chairman/CEO,Thomas Smith
Tennessee Titans,2014,Executive vice president/general manager,Ruston Webster
Tennessee Titans,2014,Assistant director of football administration,Dennis Polian
Tennessee Titans,2014,Vice president of player personnel,Lake Dawson
Tennessee Titans,2014,Vice president of football administration,Vin Marino
Tennessee Titans,2014,Director of college scouting,Blake Beddingfield
Tennessee Titans,2014,Director of pro scouting,Brian Gardner
Pittsburgh Steelers,2010,RB Willie Parker [ 15 ],signed a 1–year contract with the Washington Redskins
Pittsburgh Steelers,2010,WR Joey Galloway [ 15 ],signed a 1–year contract with the Washington Redskins
Pittsburgh Steelers,2010,CB Deshea Townsend [ 15 ],signed a 1–year contract with the Indianapolis Colts
Pittsburgh Steelers,2010,G Darnell Stapleton [ 15 ],signed with the Florida Tuskers of the UFL [ 16 ]
Pittsburgh Steelers,2010,S Tyrone Carter [ 15 ],signed with the Washington Redskins [ 17 ]
Pittsburgh Steelers,2010,FB Carey Davis [ 15 ],signed with the Washington Redskins [ 17 ]
Pittsburgh Steelers,2010,LB Rocky Boiman [ 15 ],signed with the Detroit Lions [ 18 ]
